Gene,Profile.rep3,Transcripts.rep3,Profile.rep1,Transcripts.rep1,Profile.rep2,Transcripts.rep2
tmem104,48,1025.53604617945,48,587.545235218954,48,471.714100171424
fam135a,48,828.104144101125,48,2067.14075402928,48,1174.56094675519
itpkca,48,887.722618177253,48,279.02623077344,48,269.29283876115
mast3b,48,263.808102868746,48,118.885628394095,48,133.296657965761
ormdl1,48,527.656376147921,48,575.440033100777,48,444.634395768931
ppp2r5eb,48,603.756528431809,48,425.708912930479,48,396.494194885688
chic2,48,818.29385162596,48,660.718554384358,47,2040.98475998602
smx5,48,533.109968930218,48,358.912907990783,47,470.570582756137
tpd52l2a,47,176.737154876839,48,155.728825819744,48,135.685845022204
yap1,47,949.013113265286,48,3230.58822581277,48,1687.33391594602
chmp4ba,47,344.482722396119,48,66.5991022922775,47,86.9522501005264
si:dkey-238d18.4,46,170.076997471536,48,65.9478030674154,47,82.9041866121216
krtcap2,46,1726.59153664698,48,689.014889678341,46,852.677040768274
tor1,49,430.672324532803,47,659.803422950299,49,801.277194945109
anln,50,3129.15785679608,46,624.00853204282,50,452.624873550903
bach2a,49,234.808996158487,46,280.835659403454,48,205.845153558532
fam117ab,49,920.334423851097,46,1190.64147482977,48,437.926077470263
mxd3,49,3462.80232401711,46,3094.10357753811,48,3481.91670671236
rnf38,49,479.65552962475,46,129.792268916783,48,461.999100744614
rtn4a,49,5134.50505238226,46,2731.81867612894,48,2660.25200276125
tsc22d2,49,591.085049526961,46,434.962066897848,48,483.966962010214
dazap2,49,695.502142112282,46,302.185491849099,47,360.412643474974
larp4b,49,433.11345219627,46,375.469597964944,47,490.899105641403
micall2a,49,927.754937916776,46,580.715860742866,47,605.339836015726
ube2q2,49,525.287260102861,46,274.566670152703,47,350.525574100465
vrk3,49,667.013493373378,46,99.3055687574477,47,412.188785106179
yipf3,49,195.699230114863,46,182.253796161903,46,85.567832926209
clcn3,48,483.787602230323,46,1418.55199789731,48,2263.84527591673
r3hdm1,48,913.095755080638,46,2482.08717427196,47,2858.06731310552
ggnbp2,48,2282.88062303652,46,187.47511448117,47,2748.39984540203
slbp,48,1217.14311451997,46,237.532403585672,47,1397.4791465907
ist1,47,958.21118603223,46,4101.4838624793,48,1359.60250343902
ppm1bb,47,916.863171641168,46,6803.83697991846,48,5161.41812375405
